"Date","Price","Open","High","Low","Vol.","Change %"
"08-01-1996","624.35","624.35","624.35","624.35","","-1.29%"
"05-01-1996","632.48","632.48","632.48","632.48","","-0.59%"
"04-01-1996","636.21","636.21","636.21","636.21","","-0.72%"
"03-01-1996","640.83","640.83","640.83","640.83","","-0.54%"
"02-01-1996","644.31","644.31","644.31","644.31","","-0.39%"
"01-01-1996","646.82","646.82","646.82","646.82","","0.35%"
"22-12-1995","644.57","644.57","644.57","644.57","","0.69%"
"21-12-1995","640.15","640.15","640.15","640.15","","0.98%"
"20-12-1995","633.96","633.96","633.96","633.96","","0.17%"
"19-12-1995","632.87","632.87","632.87","632.87","","-0.20%"
"18-12-1995","634.13","634.13","634.13","634.13","","-0.22%"
"15-12-1995","635.53","635.53","635.53","635.53","","-0.14%"
"14-12-1995","636.40","636.40","636.40","636.40","","-0.34%"
"13-12-1995","638.59","638.59","638.59","638.59","","0.87%"
"12-12-1995","633.07","633.07","633.07","633.07","","-0.47%"
"11-12-1995","636.08","636.08","636.08","636.08","","-1.04%"
"08-12-1995","642.77","642.77","642.77","642.77","","-2.49%"
"07-12-1995","659.20","659.20","659.20","659.20","","1.38%"
"06-12-1995","650.21","650.21","650.21","650.21","","1.05%"
"05-12-1995","643.48","643.48","643.48","643.48","","-0.09%"
"04-12-1995","644.05","644.05","644.05","644.05","","0.00%"
"01-12-1995","644.08","644.08","644.08","644.08","","1.17%"
"30-11-1995","636.63","636.63","636.63","636.63","","1.07%"
"29-11-1995","629.87","629.87","629.87","629.87","","-0.82%"
"28-11-1995","635.09","635.09","635.09","635.09","","-1.09%"
"27-11-1995","642.11","642.11","642.11","642.11","","0.34%"
"24-11-1995","639.95","639.95","639.95","639.95","","1.73%"
"23-11-1995","629.06","629.06","629.06","629.06","","-1.49%"
"22-11-1995","638.55","638.55","638.55","638.55","","-1.49%"
"21-11-1995","648.23","648.23","648.23","648.23","","-0.98%"
"20-11-1995","654.62","654.62","654.62","654.62","","-0.21%"
"17-11-1995","656.00","656.00","656.00","656.00","","-0.92%"
"16-11-1995","662.12","662.12","662.12","662.12","","0.00%"
