"Date","Price","Open","High","Low","Vol.","Change %"
"23-02-2021","7,959.45","7,939.90","7,985.85","7,863.25","27.95B","0.94%"
"22-02-2021","7,885.05","7,994.80","8,022.70","7,863.80","23.28B","-1.19%"
"19-02-2021","7,980.25","8,050.65","8,113.00","7,909.10","29.99B","-0.92%"
"18-02-2021","8,054.25","8,032.00","8,093.70","8,024.65","28.31B","0.96%"
"17-02-2021","7,977.45","7,982.20","8,020.35","7,950.10","25.80B","0.03%"
"16-02-2021","7,974.95","8,004.80","8,023.80","7,924.65","19.01B","0.14%"
"15-02-2021","7,964.00","7,978.40","8,015.10","7,944.80","20.77B","0.42%"
"12-02-2021","7,930.70","7,964.65","7,985.70","7,891.55","22.09B","0.19%"
"11-02-2021","7,915.35","7,806.50","7,931.50","7,798.95","22.49B","1.81%"
"10-02-2021","7,774.75","7,755.05","7,793.50","7,719.65","24.21B","0.74%"
"09-02-2021","7,717.45","7,786.85","7,799.70","7,694.25","31.86B","-0.46%"
"08-02-2021","7,753.30","7,708.15","7,778.85","7,704.00","40.57B","1.52%"
"05-02-2021","7,637.00","7,676.40","7,703.05","7,619.05","30.80B","0.26%"
"04-02-2021","7,616.95","7,526.80","7,626.65","7,505.30","35.76B","1.55%"
"03-02-2021","7,500.80","7,464.50","7,524.95","7,388.80","37.43B","1.22%"
"02-02-2021","7,410.65","7,397.45","7,463.05","7,376.85","32.79B","1.23%"
"01-02-2021","7,320.75","7,213.65","7,328.75","7,131.25","32.78B","2.01%"
"29-01-2021","7,176.85","7,293.70","7,319.40","7,165.15","22.35B","-0.63%"
"28-01-2021","7,222.05","7,190.25","7,271.35","7,149.95","26.52B","-0.69%"
"27-01-2021","7,272.55","7,264.10","7,310.75","7,199.40","28.53B","0.15%"
"25-01-2021","7,261.60","7,418.30","7,451.05","7,176.35","25.99B","-1.18%"
"22-01-2021","7,348.20","7,422.00","7,459.40","7,320.35","33.75B","-0.58%"
"21-01-2021","7,391.25","7,493.80","7,514.35","7,362.50","37.70B","-0.64%"
"20-01-2021","7,439.20","7,432.00","7,470.20","7,423.05","34.93B","0.59%"
"19-01-2021","7,395.65","7,323.40","7,403.50","7,321.85","25.07B","1.72%"
"18-01-2021","7,270.65","7,415.45","7,421.75","7,236.90","28.77B","-1.77%"
"15-01-2021","7,401.60","7,511.05","7,530.40","7,355.15","26.34B","-1.07%"
"14-01-2021","7,481.30","7,466.60","7,495.10","7,398.50","38.80B","0.64%"
"13-01-2021","7,433.75","7,486.85","7,517.15","7,353.60","42.57B","-0.18%"
"12-01-2021","7,447.00","7,463.10","7,479.90","7,430.65","28.08B","0.09%"
"11-01-2021","7,440.15","7,509.10","7,525.95","7,414.75","30.51B","-0.04%"
"08-01-2021","7,443.00","7,473.40","7,492.35","7,424.85","32.24B","0.60%"
"07-01-2021","7,398.55","7,372.30","7,432.75","7,371.65","33.71B","1.37%"
"06-01-2021","7,298.75","7,343.55","7,385.75","7,227.65","36.48B","-0.04%"
"05-01-2021","7,301.95","7,227.80","7,307.70","7,184.10","32.59B","0.60%"
"04-01-2021","7,258.15","7,226.35","7,264.85","7,166.55","32.78B","1.23%"
"01-01-2021","7,169.75","7,109.65","7,190.80","7,109.35","27.68B","1.16%"
"31-12-2020","7,087.60","7,081.20","7,121.05","7,060.60","21.82B","0.30%"
"30-12-2020","7,066.15","7,044.00","7,073.05","6,968.60","26.57B","0.70%"
"29-12-2020","7,017.05","7,061.25","7,079.65","6,971.60","25.17B","-0.02%"
"28-12-2020","7,018.40","6,960.30","7,033.70","6,956.70","22.94B","1.68%"
"24-12-2020","6,902.10","6,891.55","6,934.40","6,871.70","26.72B","0.90%"
"23-12-2020","6,840.45","6,710.70","6,842.55","6,704.00","26.89B","2.73%"
"22-12-2020","6,658.75","6,570.95","6,696.90","6,361.25","30.20B","0.77%"
"21-12-2020","6,608.05","6,959.30","6,981.20","6,464.90","29.10B","-5.03%"
"18-12-2020","6,957.70","7,003.10","7,011.75","6,877.35","27.19B","-0.21%"
"17-12-2020","6,972.50","7,003.30","7,030.95","6,958.60","24.82B","0.15%"
"16-12-2020","6,962.35","6,944.40","6,991.15","6,933.60","26.06B","1.01%"
"15-12-2020","6,892.70","6,896.25","6,905.80","6,840.15","21.04B","0.19%"
